airbnb_id,zipcode,latitude,longitude,city,state,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,host_location,host_neighbourhood,market,smart_location,jurisdiction_names,country_code,country
8025062,60614,41.92745145326771,-87.653050398678,Chicago,IL,"North Lincoln Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
8025048,60614,41.91238417114743,-87.64061666224714,Chicago,IL,"North Cleveland Avenue, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
7254959,60614,41.92373872935389,-87.66482460961002,Chicago,IL,"North Greenview Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Lake Forest, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
7697326,60614,41.92737214641916,-87.65589309710649,Chicago,IL,"West Lill Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
6624070,60614,41.92772083973231,-87.6507239648452,Chicago,IL,"West Lill Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Louisville, Kentucky, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
6221988,60614,41.92652330100275,-87.67140741319105,Chicago,IL,"North Clybourn Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,US,Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
7598196,60614,41.918063076022406,-87.65193219123427,Chicago,IL,"West Armitage Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
5681201,60614,41.92835668456795,-87.63950316957603,Chicago,IL,"W Deming Pl, Chicago, IL 60614, United States",NA,Lincoln Park,NA,"Chicago, Illinois, United States",NA,Chicago,"Chicago, IL",CHICAGO,US,United States
6673071,60614,41.928436995883374,-87.66195153903635,Chicago,IL,"West Wrightwood Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
6434818,60614,41.91820206398305,-87.63920317617104,Chicago,IL,"North Lincoln Avenue, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
2256777,60614,41.91459369568361,-87.65555175655896,Chicago,IL,"West Armitage Avenue, Chicago, IL 60614, United States",Lincoln Park,Lincoln Park,NA,"Chicago, Illinois, United States",Lincoln Park,Chicago,"Chicago, IL",CHICAGO,US,United States
5094718,60614,41.91398583973943,-87.63479626362101,Chicago,IL,"North Wells Street, Chicago, IL 60614, United States",Old Town,Lincoln Park,NA,"Chicago, Illinois, United States",Old Town,Chicago,"Chicago, IL",CHICAGO,US,United States
