airbnb_id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,calendar_updated_days
241514,1267472,2011-10-09,720,1,1,FALSE,1,1,TRUE,FALSE,TRUE,apartment,private_room,2,1,1,1,bed,NA,55,375,950,100,NA,2,25,1,45,TRUE,15,45,75,350,2015-10-03,73,2011-11-15,2015-09-29,98,10,10,10,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,1.54,0
7483739,3870091,2015-07-22,720,1,1,FALSE,1,1,TRUE,FALSE,TRUE,loft,entire_place,3,2,1,2,bed,NA,100,650,NA,200,60,1,10,1,1125,TRUE,0,0,0,47,2015-10-03,2,2015-09-22,2015-09-28,100,10,10,10,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,2,60
634310,2915265,2012-07-12,720,1,1,TRUE,2,2,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,70,400,995,250,NA,1,15,2,1125,TRUE,0,2,32,307,2015-10-03,38,2012-09-04,2015-09-01,97,10,10,10,10,10,10,TRUE,NA,FALSE,strict,TRUE,TRUE,2,1.01,3
7695729,40419117,2015-08-03,1440,1,0,FALSE,1,1,TRUE,TRUE,TRUE,apartment,shared_room,1,1,1,1,airbed,NA,75,NA,NA,NA,NA,1,0,1,1125,TRUE,30,60,90,365,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,NA,42
7023943,36716242,2015-06-25,NA,NA,NA,FALSE,1,1,TRUE,TRUE,TRUE,apartment,shared_room,1,1,1,1,airbed,NA,150,NA,NA,100,50,1,0,1,1125,TRUE,0,0,0,73,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,strict,FALSE,FALSE,1,NA,90
7968551,25905700,2015-01-10,720,0.79,0.95,FALSE,2,2,TRUE,TRUE,TRUE,apartment,entire_place,7,1,1,3,bed,NA,175,1100,3e3,150,20,3,0,1,10,TRUE,19,49,79,349,2015-10-03,1,2015-09-21,2015-09-21,80,6,8,8,8,6,8,TRUE,NA,FALSE,flexible,FALSE,FALSE,2,1,4
6712154,1678121,2012-01-31,NA,NA,NA,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,4,2,2,2,bed,NA,200,800,NA,500,NA,1,0,4,13,TRUE,0,0,0,93,2015-10-03,1,2015-07-27,2015-07-27,100,10,10,10,10,10,10,TRUE,NA,FALSE,strict,FALSE,FALSE,1,0.43,90
8432433,44402249,2015-09-17,720,1,0.67,FALSE,1,1,TRUE,FALSE,TRUE,apartment,entire_place,4,1,2,2,bed,NA,199,999,2999,99,NA,1,0,1,1125,TRUE,18,48,78,353,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,NA,3
7842536,41321539,2015-08-12,60,1,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,2,1,0,1,bed,NA,79,NA,NA,NA,NA,1,0,1,1125,TRUE,7,22,41,316,2015-10-03,6,2015-09-07,2015-09-28,83,8,7,10,10,10,9,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,6,7
3615428,11230998,2014-01-12,720,1,0.73,FALSE,1,1,TRUE,TRUE,TRUE,house,entire_place,4,2,2,2,bed,NA,270,NA,NA,200,80,4,20,2,1125,TRUE,27,53,79,354,2015-10-03,21,2014-08-25,2015-09-28,95,10,10,10,10,9,9,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,1.56,7
